,phrase,label,sentiment,subjectivity,language,count
second,second,ORDINAL,,,en,2.6
today,today,DATE,,,en,1.0
one,one,CARDINAL,,,en,1.0
half,half,CARDINAL,,,en,1.0
the next few hours,the next few hours,TIME,,,en,1.0
almost summer,almost summer,DATE,,,en,1.0
the coming days,the coming days,DATE,,,en,1.0
2025,2025,CARDINAL,,,en,1.0
"August 10, 2025","August 10, 2025",DATE,,,en,1.0
481 meters,481 meters,QUANTITY,,,en,1.0
a good week,a good week,DATE,,,en,1.0
the growing season,the growing season,DATE,,,en,1.0
500 meters,500 meters,QUANTITY,,,en,1.0
last summer,last summer,DATE,,,en,1.0
the afternoon and evening,the afternoon and evening,TIME,,,en,1.0
